tweets,sentiment
7032,we cant be sitting on co win app and wait to register on it. the government needs to reach out to people and vaccinate them. the blame game between centre and states needs to stop dr padma srivastava neurologist aiims on vaccine shortage covid19,Positive
22883,19 bcmeds to be honest i only became engaged with this issue since covid hit mostly because my mom's in a care home. three times it has come close to her there but not once has she been tested and we have dealt with secrecy stonewalling and inaction from health authorities every time.,Positive
3905,great news today for northern ireland. everyone over the age of 18 is now eligible for a covid 19 vaccine. you can book your vaccine online at every vaccination brings us closer together! covid19 covidvaccine,Positive
17938,asimriaz reveals he hasn't enjoyed his fame post bigg boss 13 salmankhan biggboss13 sidharthshukla firstrunnerup influencer rapsingle backtothestart himanshikhuranna shehnaazgill model covid19 pandemic entertainment,Positive
242,dharwad district reports 678 fresh covid 19 cases number of recoveries is nearly 200 more than fresh cases slightpositivity covid19,Positive
41918,application invited by for the post of doctors amp; staffnurse to fight the covid19 . share to reach the needy let's fight corona with these noble fighters along with chennaicorporation,Positive
48543,covid19 'up to 8 700 patients died after catching covid in english hospitals nhs figures pakustv nyc healthcare coviduk globalhealth europe,Positive
134,"""you centre are not letting the vaccine manufacturers to sell as per their wishes you are controlling the supply and then you lie"" ""no country in the world has left the entire onus of buying vaccines to its states"" 19 watch newstrack live covid19",Positive
35683,covid19 vaccines are effective at protecting you from getting sick. based on what we know people who have been fully vaccinated can start to do some things that they had stopped doing because of the pandemic. to learn more visit bcoag pw,Positive
3851,in the middle of pandemic 1 lakh bengalis have been thrown out of their homes and forced to take shelter in neighbouring assam. have any shame left to talk about it or has gone down the drain too?,Negative
27312,wow .. thats racist! we got cutting off poor ppl w o covid19 shots cut unemployment checks when child care is unavailable amp; being evicted. this guy ask where his money comes from amp; if he will represent all the ppl like all ppl are being represented now! really?,Negative
16672,fadnavis bharati fm govt. spent thousands of crores to save people amp; boost economy from covid19 crisis pmc bk our own money locked for 20 months and no relief given to us revive pmc bk asap,Positive
49340,30 supporters already in 3 days! help us spread the campaign to support 25 folk musicians of rajasthan who are having hard time due to the pandemic and lockdown! covid19 donate relief support rajasthan phalodi langa,Negative
42461,struck by nothing is being said what other countries were doing. j spahn germany called covid19 a pandemic a week before the who on 4 3. when the gov took the unusual step of responding to the sunday times article they only mentioned the who calling covid19 a pandemic on 11 3.,Positive
22554,covid19 sarscov2 169530948 cases +579544 102906 in china excl. hongkong and macau amp; 169428042 confirmed cases in other countries amp; 3511621 +12763 deaths cfr 2.07 as of 26 may with data from outbreaks mail amp; jh csse.,Positive
3438,exactly. taiwan's government needs to stop turn a blind eye to the exploitation of taiwan's businesses. if anything covid19 has exposed the risks in taiwan's structure and systems and it's no longer time to kick the problem down the road. it's time to address this now.,Negative
35610,huge deal wait for cases during season amp; more tommy sweeney situations heart infection threatening his future amp; losing whole season . boston celtic jayson tatum very healthy athlete previously had covid19 four months ago amp; still has breathing issues that forced him to 1 2,Positive
4145,as a former career advisor at a university i'd be very interested to track whether how much applications to teacher education programs have dropped as a result of how they have been mis treated during this pandemic. would you want that job now? covid19 teachers onpol,Positive
5774,got the covid19 vaccine today. the last person i want to thank is the one who prominently features on my certificate . no one deserves to run around in desperation for what is our right. can't imagine how tough it's for rural india. thanks for nothing bro,Positive
35472,covid19 was not important we knew that it didn't give him a hard on. unlike brexit. bj was all over the press with that.,Negative
47120,did dominiccummings just refer to the movie independenceday whilst giving evidence just now? watching the inquiry this morning is incredible viewing so much was handled badly costing so many preventable deaths from covid19,Positive
14827,inspite of covid19 and war situation israel to urgently send four advanced herondrones to india for keeping an eye on the chinese activities in the ladakh sector and other areas along the line of actual control lac with china.,Positive
25510,why would you need a vaccine if you've already had covid 19? talked to dr. michael main interim ceo of saint luke's physician group to get answers to viewer questions about the covid19 vaccine.,Positive
11772,this year govt will specifically focus on 4 critical areas incl defeating the covid19 pandemic; accelerating economic recovery; implementing economic reforms to create sustainable jobs amp; drive inclusive growth and fighting corruption and strengthening the state postcabinet,Positive
18722,the students of district pakpatten will be holding a protest rally against physical exams and stupid policies of govt on upcoming saturday. everyone is requested to join the rally and raise voice for cancellation of board exams cancelboardexams covid19 cancelallexams,Negative
36540,26811 new cases of covid19 death of 530 patients 40741 discharges amp; 127317 vaccinated in karnataka.out of 26811 6433 cases r from bengaluru.till date 2499784 +ive cases hv been confirmed in state it includes 2062910 discharges amp; 26929 deaths+19 deaths due to non covid cause.,Positive
13976,how will countries rebuild their tourist industries post covid? i am at the tourism recovery summit where tourists ministers from kenya jamaica south africa the maldives and many other places are outlining their plans tourism covid19 pic by m,Positive
21586,for those saying that will lose in 2024 let's watch an extreme horror movie what if rahulgandhi becomes pm prove our prediction wrong amp; india with ramdev covid19 covid19india coronavirusindia coronasecondwave 4india,Negative
40156,something is terribly wrong with . is pfizervaccine safe if it is taking so much precautions? vaccineswork but not sure all do! covid19 coronavirus,Negative
15596,amongst the fourteen new film lines coming to india in the next three years is cosmo films polyester line from bruckner... polyester covid19 bopp,Positive
21699,2 the top usa vaccinologist was asked how to create covid19 variant mutations. he said his experiment was easy. give 1 dose of the current 2 dose vaccines stop amp; wait for the escape variants to appear. in bc were probably making an antibody escape mutation now the bonnie bug.,Positive
28324,"how astra zeneca amp; jj cause rare clots ""alternative splice events lead to formation of soluble spike protein variants. these may cause thromboembolic events via binding to ace2 on endothelium"" covid19 foamcovid covidfoam medtwitter meded",Positive
47867,invites applications for mbbs doctors and staff nurses to strengthen its covid19 operations further. details in the advertisement. kindly share for better reach.,Positive
48638,fantastic news the 1 has launched its new breakfastclub networking meetings. the first of these will feature local travel counsellor tc. due to covid19 guidelines numbers for this first in person event are very limited but watch this space for more!!,Positive
41279,searching for real stories which encourages amp; aspires we indians as to during the year long covid19 pandemic ordinary people to document who themselves were in need amp; deprived rose to the occasion and showed extraordinary courage willingness amp; sacrifice to help the needy.,Positive
33192,important message for pregnant women during covid19 pandemic from dr renu sharma senior consultant obstetrics amp; gynaecology at ankur maitrika multispeciality hospital channi himmat jammu for full interview please click this link united2fightcorona,Positive
15802,on one hand the pm modi is trying his best to ensure every indian gets a vaccine and on the other hand opposition ruled states are just wasting vaccines. is this a conspiracy to derail our vaccine program? covid19 covidvaccine rajasthan jharkhand chhattisgarh,Positive
10552,the trouble is these have got away with lying so much they now think it is acceptable and continue to lie. it isn't acceptable and never was! toryliescostlives publicinquiry borishasfailedthenation covid19,Positive
43689,wednesdaywisdom your level of success is determined by your level of discipline and perseverance. weekdaywisdom wisewords wisdom wednesday wednesdaymotivation wednesdaythoughts wednesdayvibes covid19 puttingindiatowork levelofsuccess discipline perseverance,Positive
10807,i wonder if the gronks at understand that 1. victorians are only angry at their repeated super spreader events amp; 2. that lockdowns have been proven to work time amp; again. also are they willing to protest during lockdown? covid19 auspol istandwithdan,Positive
9955,vaccine pfizer tells centre its covid 19 vaccine is suitable for all aged 12 amp; above reports covid19 covidvaccine covid19vaccine pfizervaccine,Positive
43431,jnj s experimental covid19 vaccine now limited up to 41 years in belgium after the death of a young [diplomate] woman of 38.,Positive
34519,nyt are the tokyo olympics safe? no! covid19,Positive
48928,honeygal allopathy can't cure hepatitis b too. only ayurveda has a medicine which completely throws out hepatitis b from human body. a genuine request to . if you want i can bet on hepatis b and covid19,Positive
46278,covid19 pharmaceuticals vs conspiracy idiots. as it stands to date the score is conspirators 5 pharmaceuticals 0 pharmas amp; those that speak up for them keep on scoring own goals whilst the media keeps up with the lies amp; blocking of anyone offering genuine debate.,Positive
33957,we will be live in less than an hour w 5 cameron love amp; andy alook bigstone health commission . send your questions to fnhma.ca amp; then join us live on indigenoushealth cdnhealth covid19,Positive
20454,please be careful when you buy your bts meal i don't wanna see any kluster mekdi here though covid19 btsmeal,Negative
37833,i work with healthcare workers who put their lives at risk caring for patients during this pandemic. with covid19 weve faced dangerous conditions like working without having enough ppe and extended shifts. help support and retain healthcare workers. support ab650,Negative
32303,this change should make this vaccine more widely available to the american public by facilitating the ability of vaccine providers such as community doctors offices to receive store and administer the vaccine. covid19,Positive
20197,updated with citations into may 2021 issued to california employers for failure to provide a safe workplace during the covid19 pandemic,Positive
25949,covid19 case update 2 cases 10 280 317 additional negative test results 17 assumed recoveries 9 944 4 hospitalizations 1 icu no additional deaths 113 cumulative fully vaccinated 72 851 37.7 cumulative with at least one dose 90 099 46.7,Negative
35586,imagine one of your loved ones is in hospital fighting for their life against covid19 amp; the premier even a premier you think is a joke says something this ignorant amp; hurtful resignpallister,Positive
18768,why are the msm blocking the covid19 success stories around ivermectin ?,Positive
29677,residents of chechnya are massively refusing to get vaccinated against coronavirus and spread conspiracy theories in social networks; such people should be the last to receive medical care ramzan kadyrov stated. covid19 vaccine more,Positive
33440,to ensure maximum efficiency and safety we have now shifted our vaccination drive to villa theresa high school. we request citizens to book their appointment through the cowinportal. maskup amp; staysafe covidvaccines covid19 vaccine covishieldvaccine,Positive
11202,with covid19 naturally putting us all in one level irrespective of your power social class and position in government it's time to do the right things because when we don't we all quickly reach our final destination. maskupug ug,Positive
5471,this is what the failure of our government has caused. boris covid19 manslaughter,Negative
17891,anything u need now at u'r doorstep stay home stay safe we will shop for u contactless delivery install . . chotabeta onlinegroceries online pickanddrop deliveryathome onlineservice covid19 staysafe stayhome,Positive
38375,liveline covid19 deaths per million of population. ireland at no. 50 japan at no. 129 so what are you all on about.? japanese are infinitely more healthy than most in the world. the olympics must go on.,Positive
1685,salute to corona warriors who do great job in this pandemic... coronavirus salutetocoronawarriors coronawarriors covid19 covid19india corona delhifightscorona delhi,Positive
6070,since the start of the pandemic 606 179 americans have died from covid19 17.2 of all deaths worldwide . that is about the same as 13 776 united airlines flight 629s which killed 44 people in 1955,Negative
51233,if u r a bit pragmatic amp; hv guts for journalism den quest' d govt abt farmersprotests covid19 vaccine healthcare centralvistaproject petroldieselpricehike rather dan questioning abt past journalist or bottlicker? blackdayagainstgovt black day of farmer,Negative
8660,india on downswing of second wave of covid19 we believe it will sustainted even when restrictions are significantly relaxed 1,Positive
20993,gadkari more power to you sir..happy birthday nitingadkari covid19 cycloneyaas mumbai maharashtra uttarpradesh rajasthan bihar delhi,Positive
15351,when there's acute shortage of covid19 vaccines in the country why're private hospitals given 25 equal allotment as states instead of diverting all non goi channel to states uts? corporate run pvt hospitals are profiteering amp; inequity is peak!!,Positive
18617,aiims bsc nursing and msc courses entrance exam postponed due to covid aiimsnursing bscnursing newsalert aiims entranceexam bsc nursing msc covid19 pandemic coronavirus,Negative
42588,sobering assessment on how dire the job market is for young people. thanks tk amp; 33 of for covering this! we wont recover if dont prevent a lockdown generation! lockdowngeneration cdnpoli covid19 canada canada,Positive
17281,latest daily covid19 update in florida 2340 new cases ~109 per 1m 66 new deaths ~3 per 1m and in victoria 12 new local cases ~2 per 1m no new interstate overseas cases 34 active cases no new deaths for 178 days,Positive
6790,the mind numbingly slow vaccine rollout of this government has been amp; continues to be incompetent and negligent. now there is a new wave in vic at least scottyfrommarketing got loads of photo ops! covidvic auspol covid19 scottyfromcoverups scottytheliar scottyfromgilead,Negative
7744,the latest what the fatah!! thanks to quraishi dharam vir covid19 vaccination,Positive
7209,thecovid19 vaccine ishere! itseffective and safeandis leading ustonormal again.kids and teens who are not fully vaccinated should continue to wear masks when social distancing isn't possible.,Positive
3364,his mind is twisted and don't care what's happened to people's family's and love ones . due of covid19.,Negative
21661,princesses. mrvkcreation princesses beautiful cutegirl sweet smile video viral viralvideo trendingnow creator creative india thrusday covid19 covid19vic,Positive
25912,mingo county free covid19 testing is available may 27 10 a.m. 2 p.m. delbarton fire department for additional sites visit,Positive
2807,is this logical ? marathi maharashtra covid19 maharashtralockdown marathitwitter marathinews marathispaces marathilanguage mumbai pune marathipoliticalnews,Positive
22614,when to take dose 1 after testing covid19 positive 2 5 quixplained expressexplained vaccinated,Positive
41473,lol! why don't they compare like this for covid cases vs hospital beds vs deaths vs doctors. p.s more than no. of cases what matters is percentage of doctors beds oxygen to that of covid patients covid19 indiafightscovid19 india covidsecondwave,Positive
11643,aggressive testing is the best strategy. the itanagar municipal corporators and the flying squads consisting of health workers have taken to aggressive testing for covid19. large scale testing are carried out through numerous testing sites setup at the roadside in the pavement.,Positive
33821,icymi sen. rubio joined to discuss the origin of covid19 amp; the radical education agenda of social marxists. read amp; watch,Positive
4966,thank you for advertising that your product promotes a healthy immune system in babies it seems that the govt does not believe our immune system works. covid19 covidvaccine coronavaccine coronavirus,Positive
23858,we are studying how the covid19 pandemic is affecting hiv prevention and care services for transgender women in washingtondc . for more info,Positive
8264,vietnam reported 25 new covid19 cases from 6 p.m. local time wednesday to 6 a.m. thursday including 24 locally transmitted and one imported raising the total confirmed cases in the country to 6 111,Positive
43590,covid19 uk 5 day rolling mean for increases in cases amp; deaths 21 5 +2533 +6 22 5 +2641 +6 23 5 +2577 +6 24 5 +2511 +6 25 5 +2418 +8,Negative
4725,covid19 update in kosovo one death 23 new infections in the last 24 hours,Positive
32816,"the senate is honoring imelda garcia who led covid19 vaccination effort. as of wed. nearly 10 million texans have been fully vaccinated against the virus. ""she did an extraordinary job in a very very difficult time "" says. txlege",Negative
13294,more people will die as a result of government imposed restrictions on healthcare access and gps turning their backs on patients than ever would have had we done nothing about covid except staying at home if sick. covid19,Negative
51945,this new covid19 escape of infections into our community truly terrible timing for the new melbourne arts festival starting today. we seem on the brink of another lockdown? decisions probably tonight. pandemic publichealth,Negative
21106,only in canada there are three lamps that need to be promoted. it can be used in gardens paths garages storage rooms etc. it's free only need a 5 star review + necessary text. rating review canada promote garden path garage led light room test covid19 stayhome,Positive
18895,india active caseload further declines to 24 19 907; active cases decrease by 75 684 in last 24 hours. at 2.11 lakh cases declining trend in new cases is maintained ministry of health covid19,Negative
48360,"""shocks triggered by covid19 pandemic sparked off panic selling by foreign investors"" dr. chairman of the nairobi securities stock exchange nse knccionstateofeconomy richard chamber hon",Negative
19937,new article covid 19 and preparing for future ecological crises hopes from metagenomics in facing current and future viral pandemic challenges coronavirus covid19 2019ncov,Positive
9479,well i've just had my first covid19 jab feeling ok so far tomorrow could be a different story !,Positive
17657,black fungus covid infection japan's new wave and failure of plasma experiment in treating covid19 olympics coronavirus indianvariant japan plasma,Negative
18597,a 74 year old malaysian retiree is among the 26 new covid 19 cases reported in singapore on wednesday according to the republics ministry of health moh . read more covid19 singapore tmrworld,Positive
18828,6 clear of that pen merchant,Positive
39208,community amp; voluntary groups charities amp; social enterprises deadline approaching. applications for covid19 stabilityfund2021 close tomorrow thurs 27 may 3pm! still time to register amp; complete applications on email stabilityscheme.ie with queries,Positive
19152,how hard has the covid19 second wave hurt fuel demand and will it have an impact on bpcl divestment? in conversation with director finance n vijayagopal. bqlive q4withbq read more,Positive
5490,parashakti akashic reading || 27 may 2021 || at a time so crucial for india devi herself is manifesting blessing and protecting each and every one of us. yt live fb live covid19 blackfungus yellowfungus whitefungus,Positive
18866,the sec gen of the chulabhorn royal academy says royal gazette order enabling them to procure covid19 vaccines is meant to offer another option. its expected for a while that they will procure shots by sinopharm thus the order mightve been just to clear a legal hurdle.,Positive
32748,the entire team is excited and honored by the 's recognition of our work on behalf of palestinian citizens of israel during the covid19 pandemic and we shall continue to strive to secure fundamental human rights for palestinians,Positive
13637,calling b.1.617 as indian variant is scientific but calling original virus as the chinese virus is racism. what a hypocrisy! china chinesevirus covid19,Positive
16546,many people from all around the world even a major japanese doctor's group wants the tokyoolympics to be canceled. i think it would be really hard to perfectly cope with the spread of covid19. smjnews,Positive
19422,from vaccines to quad why jaishankar's us visit can be shot in arm for ties with us coronavirus updates corona live tracker corona outbreak coronavirus coronavirus updates covid 19 covid 19 tracker covid19 outbreak latest news top india news,Positive
13896,the number of covid19 cases and deaths are on the raise. and apparently the most affected age group is 20 39 yrs old. wear that mask and practice the other sops. the 'war' is far from over.,Positive
33761,if you have an action plan to manage any conditions you have please remember to follow it. covid19 socialdistancing emotionalconnection,Positive
5360,new post nbc news now full broadcast may 24th 2021 has been published on covid19 information news stats,Positive
26937,want to know what have done to our novascotia? this! scared living daylights out of old men; businesses afraid of being seen to be not conforming; causing division...all while providing no evidence of benefit and ignoring evidence of harms. covid19,Negative
13465,p2f pharm2farm rms masks protect virus covid19 pro larva available on = gt; amazon = gt; 4medicals srl = gt; magnesium healthcare = gt; numed healthcare,Positive
34586,alia bhatt decided to supporting amp; inviting others to support to meet food amp; medical needs of those suffering migrant informal workers women frontline workers and other vulnerable communities during covid19 lockdown 8,Negative
19868,genetic evidence indicates that delays in implementation of non pharmaceutical interventions resulted in more severe covid19 epidemics,Positive
16455,nearly 129 000 lives lost to covid 19 in africa covid19 nationnewsplex,Positive
27405,covid19 is it true people who had the vaccine cannot donate plasma?,Positive
14539,new design us camera. friendsreunion europaleaguefinal solutionseg covid19 cctv portugal braga alarme camera,Positive
47780,does the government think they are not vulnerable to covid19 or it wishfully thinks it can ensure covid19 appropriate behaviour at exam centres?,Positive
49086,vaccine which states are reporting much higher covid 19 vaccine wastage than national average? covid19 covidvaccine covid19vaccine coronavaccine coronavirusvaccine,Positive
17035,nationalprayerbreakfast pray for poor kenyans. waziri kagwe said there is indian covid in kisumu. our president is going to have a beehive of activities this weekend. cant his advisors advise him to suspend coz we the poor will be slapped by lockdown na njaa. covid19,Negative
7151,recently marked 20 years of transforming health care delivery. read their 2020 annual report to learn how they leveraged expertise in covid19 response covid19 healthforall,Positive
51473,the covid 19 pandemic could be seen as a forewarning of the other under addressed global disasters which are looming particularly those brought on by climatechange. and tamiksha singh covid19 climateaction,Positive
32650,minister of energy stuart young on permission to travel to get vaccinated abroad it is under consideration. right now it is a premature decision but certainly something that will be given active consideration. stayhomestaysafe covid19 soetnt,Positive
6941,stop making china rich. its time. covid19 wuhanlableak fentanyl,Positive
42405,pathetic! truly pathetic! imagine sucking up to a brutal regime that sterilizes female muslims so they cant reproduce. murdered millions of people through covid19 the fast amp; furious franchise is dead now! china,Negative
37505,new with increased focus on covid19 vaccines for kids we looked at parental consent laws by state 41 require consent for those lt;18 5 incl dc have lower age cut offs 5 have no age limit allow for provider discretion w nataliesinger jen,Positive
39282,oxygen and icu beds available park hospital delhi contact 01145323232 verified at 5 45pm 26 05 21 covid19 covidindiainfo covid19india covidhelp verified oxygenbeds icubeds delhi,Positive
51787,cyclist most office environments are not ventilated even onir best day of the year pre covid19 pandemic. can you imagine *now being any better?,Positive
30097,we are all very proud of your work during this covid19 pandemic. work speaks volumes. may god bless you with good health. iyc,Positive
40173,great going again for first drive through vaccination centre launched in delhi today. location vegas mall in dwarka call 8800015999 for vaccination. covid19,Positive
20580,was really expecting to have the vaccine buy now covid19,Positive
30491,6 59 pm temp 11.7c max 13.9c min 5.1c dewpoint 6.4c avg wind speed 15.0kmh s max gust 20.9 kmh rain since midnight 0.0mm rain this month so far 124.6 mm please frequently wash hands amp; social distance to help stop covid19,Positive
8448,1 in 3 people with covid19 do not experience any symptoms and may be spreading the virus without knowing. rapid testing can detect cases fast meaning +ve cases can isolate immediately. for more information about how to book a test visit,Positive
42059,houseoflords questions government on covid19 live now,Positive
31236,rt icymi on todays sunrise w amp; say no critical race theory in schools covid19 cases down vows to turn tourism around talks mental health listen,Negative
12700,covid19 vaccine misinformation is at an all time high we need measures to combat it. to learn about the fact checking tools join vaxcheck kashmir on may 29 2021 virtual fact checking town hall training by register at covid19vaccine,Positive
15280,wuhan lab we dont need nuclear weapons we have experienced what a virus can do in killing millions of people if left too its own devices this is wake up call for the world to stop playing with viruses or we are going to go the same way as dinosaurs.... covid19,Positive
20407,"in accordance with the importance of hygiene as a precautionary measure to combat covid19 mr had joined the ""khidmat aapki dhlez par"" program his dedication for progressive social welfare for his people is appreciable.",Positive
15069,when you have other important things to do standing in long lines at pharmacies might be a hassle. simply place your order and relax. place order here +91 8484960551 | +91 8806688551 evomed evomedpharmacy wellness homedelivery covid19 coronavirus onlinepharmacy stayhome,Positive
42962,our ask regarding the globalhealthsummit co hosted by health and 20org is more important than ever to respond to covid19 equitable global access for all to tests treatments amp; vaccines must be guaranteed! health4all,Positive
43677,lowest european covid19 mortality rate. nations gt;2k cases 23 00 25 5 case rank cases deaths 0.46 n cyprus 160 7103 33 0.46 iceland 163 6560 30 0.49 cyprus 103 72011 356 0.64 norway 91 122917 782 0.72 belarus 49 387818 2791 part1,Negative
37290,i wish i could be a fly on the wall as biden talks to putin on ukraine covid19 the belarus airline flight diversion hacking of the colonialpipeline solarwinds election interference disinformation campaigns and gru assassinations in the uk.,Positive
48631,"1970 in 2017 they posted multiple publicly available articles about influenza pandemic protocols literally just change the word ""influenza"" to ""covid19"" and you're sorted the government has no excuse. they had a handbook and a global organisation telling them what to do",Positive
40557,one thing that 1 isnt going away and 2 requires an explanation why is the ccp so hell bent in obfuscating and blocking any serious and open investigation on the origin of covid19? it very much resembles an orchestrated cover up.,Negative
46517,more than 546.71 million doses of covid19 vaccines had been administered across china as of tuesday the national health commission said wednesday.,Positive
49551,groups of up to 6 people or 2 households can now meet indoors when welcoming people inside your home open a window and let fresh air in to help stop the spread of covid19. more info handsfacespacefreshair,Positive
50082,all sorts of 'post' pandemic issues surfacing as recovery starts shortage of hospitality staff set to get worse + now shortages in building materials cement timber etc as consumers unleash spending on diy renovations. what are others seeing in other sectors? covid19,Negative
12483,disturbing if accurate piece on youtube about potential source of covid19 originally posted last year although i only found it yesterday. uk media focus is on denigrating uk gov response rather than holding potential originator of virus to account?,Positive
18960,let's pledge for corona free pakistan! essalab who healthylifestyle preventionisbetterthancure coronafreepakistan covid19,Positive
11257,hey anyone wants to donate some safemoon as a charity i am from indiaso this is my wallet address n it's totally used for the welfare of people's suffering from covid19 0x07e01a7db9f096c91a6787480cd33378afd9a6df,Positive
31602,according to dr. anthony fauci the scientific enterprise and rapid dissemination of medical research was a success story of the covid19 pandemic. watch a special conversation with dr. fauci hosted by the john adams institute sponsored by wolters kluwer,Positive
3529,a county level analysis in the us shows significant underascertainment of the excess mortality due to covid19 especially in counties with more social vulnerabilities and associated conditions. equity. via,Positive
44306,she makes a great point. covid19 restrictions dougford,Positive
40545,ecdc director andrea ammon a recent covid19 infection and full vaccination provides protection from sarscov2 infection on different levels as seen from accumulated evidence. there are still some risk of transmission. savingsummer,Positive
32563,nope there is only 4 weeks left makes no sense the kids have already been through enough with back and forth and not to mention before the go back they have to get rid of the ridiculous and child abuse mask mandates! covidontario covid19 getbacktonormal,Negative
39507,a son loses his mother to covid19 at a place some 1000 kms away from his place of posting. but is back on duty in a day to attend to the call of public service. hats off to the strength and courage shown by ankit kumar singh nitk collector of banswara rajasthan,Negative
32274,how to face the world again when you feel anxious about getting close to people covid19,Negative
2497,may is mental health awareness month. check out this new american sign language asl video for helpful tips on managing stress during covid19,Positive
22159,i don't believe is going to take the issue seriously!! he just gives some statements to hide his pro china face! it's open secret everyone knows that covid virus was engendered in china. china must be punished. china is most dangerous to the world! covid19,Negative
35461,hit amp; miss and trial amp; error approach of towards covid19 patients is responsible for the death of more than three lac of them. why it should not be disbanded and those at it's helm prosecuted?,Positive
30423,clinicians and professional society leaders identify key challenges in the sectors response to covid19 as structural issues including clinician burnout inadequate staffing disruptions to education and financial impacts transforminghealth,Positive
52261,lol it's government ministers being first in line for the covid19 vaccination for me,Positive
37575,explore more stories on jaanojunction englishnewsbulletin covid19 socialmedia rajasthan ambulance kotacity districtcollector nohumanityleft,Positive
12137,i have a joke on vaccination but it is not available covid19 covidemergencyindia,Negative
22197,again from last 2 days india recorded more than 2 lakh case of covid19 . and you cancel 10th exam when cases in 1 lakh ai today 2 lakh case per day modiji cancel12thboards modijinoofflineexams cancelallexams cancelexamssavestudent cancel12thboardexam2021,Positive
19046,there is no data on long term safety studies of covid19 vaccine in children ruling out off target effects of mrna in reactivating ancient oncogenic retroviruses embedded in the human genome...and causing cancer later in life..as chemotherapy for hodgkin's disease in kids.,Negative
35459,during this pandemic it's important to dispose of waste in a safe and sanitary way. help keep our community clean amp; workers safe by bagging your medical supplies amp; putting them in the garbage. go covid19,Positive
2488,covid 19 msn laboratories initiates phase iii clinical trial of molnupiravir set up in hyderabad msn will start its clinical trials in more than 40 sites across india and the first dosing is expected to begin soon. indiafightsback hyderabad covid19 drug,Positive
31029,needless deaths. shame on them all. needless deaths dominiccummngs covid19,Negative
31057,we at ramani group are happy and proud to share that 500 of our employees are vaccinated. covid19 covid19india covidvaccine vaccination vaccinationdrive ramani,Positive
25494,join speakers from the amp; to discuss pacific policy priorities aapi hate crimes covid19 in the u.s. amp; the pacific amp; have your questions answered tomorrow 10am and 11am rsvp,Negative
23837,covid19 community support update may 26 2021. get the latest on community support programs and projects in the cityofgoodliving here,Positive
46945,indore free food supply available to covid patients contact +91 72288 55024 verified at 1 16 pm 26 may covid19 covidindiainfo covid19india covidhelp verified indorefightscorona indore foodforneedy,Positive
42271,ahca mark parkinson publicly warned on 11 3 covid19 is an almost perfect killer of elderly people. so why why were people sent into care homes?,Positive
20699,86646075 virginia kindly put down your pro liberal sword for once and listen; the premier of sa has acknowledged that patient zero contracted covid19 in a quarantine hotel in adelaide; i repeat in adelaide;this strain is very contagious;quarantine is a federal responsibility.,Positive
19095,just in the premier has announced queensland will declare victoria a covid19 hotspot. from 1.00am tomorrow anyone who has entered the state from victoria over the past 14 days must undergo hotel quarantine. 9news more on the latest restrictions,Positive
29935,why is it everyone who isnt trying too protect a high risk loved one thinks covid19 is over? getvaccinatedasap frustrating wearamask usa covidvaccine,Positive
10396,get fit together obesity amp; preventive measures cryptocurrency kyakiyahaintune covid19 nftcommunity thursdayvibes rememberingnehru happybirthdaynitinji hblpsl6 melbournelockdown israel,Positive
29156,to help getting covid19 under control we created an affordable fully accessible scalable amp; highly accurate detection process. are you ready to join us? visit to learn more!,Positive
34371,france will impose self isolation measures for people coming from britain due to the presence of covid19 variants there government spokesman gabriel attal said on wednesday. details to follow in the coming hours.,Negative
36111,this is why johnson must resign or his govt be brought down. he is responsible for tens of thousands of wholly avoidable uk covid19 deaths,Positive
13105,german vaccination update 1st shot challenge 7 day average of 1st shots falls below 400k covid19 vaccine impfgipfel,Negative
19532,thursdaymorning another super cool animation on correct covid19 practices for school going children this time from what a great way to say so much in just 2 minutes! communication c4d vasily 67475450 ishaan,Positive
33830,after a month of consistent decline the u.s. covid19 vaccine administration rate increased for the first time this week. the rise is likely linked to the recent cdc approval of the pfizer vaccine for adolescents. read more about vaccine progress here,Positive
22256,covid19 bannon drlimengyan1 yanlimeng and bannon what is horrible is not people's hatred but people like yan limeng incite hatred. remember viruses are naturally occurring not man made. this is science. those who don't believe in science please don't incite hatred.,Negative
38364,happening now [skun spiritual tourism and pilgrimage live stream nithyananda purnima special program || 26 may 21] covid19 blackfungus yellowfungus amaravati itanagar dispur patna raipur panaji sikkim tamilnadu telangana,Positive
50137,what uk govt. trying to save from cutting aid budget is much smaller than alleged corruption of covid19 british ppl amp; humanity wud be ultimate victims as uk will lose grip of global leadership in humanitarian support,Negative
51851,heavy rains and howling winds are lashing eastern india as the covid19 stricken countrys second cyclone in as many weeks makes landfall killing at least two people in odisha state and forcing more than 1.2 million people to seek shelter cycloneyaasupdate cycloneyass,Positive
22757,largest cdc covid19 vaccine effectiveness study in health workers shows mrna vaccines 94 effective via,Positive
26444,14 yup. i agree. classic psychopath,Positive
18993,. india updates on recoveries of covid19 cases more than 2 83 135 patients recovered during last 24 hours increasing total recoveries to 2 46 33 951 recoveries continue to outnumber daily new cases for 14th consecutive day recovery rate improves to 90.01,Positive
4007,health officials on thursday reported no new covid19 cases in hongkong either local or imported for the first time since october. but an infectious disease specialist sounded a note of caution on silent transmission and low vaccination levels,Positive
48579,an interesting and modern discussion of a covid19 patient in icu with pulmonary mucormycosis this case highlights how this covid19 might impair the immune response exposing patients to developing opportunistic infections and leading to worse outcomes.,Positive
